country name;country code;metric;metric code;year;value
Bermuda;BMU;Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita);EN.GHG.CO2.PC.CE.AR5;1990;4.3868031063778
Bermuda;BMU;Renewable energy consumption (% of total final energy consumption);EG.FEC.RNEW.ZS;1990;0
Bermuda;BMU;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;1990;3.13619995117188
Bermuda;BMU;Current health expenditure per capita (current US$);SH.XPD.CHEX.PC.CD;1990;
Bermuda;BMU;Individuals using the Internet (% of population);IT.NET.USER.ZS;1990;0
Bermuda;BMU;GNI, PPP (constant 2021 international $);NY.GNP.MKTP.PP.KD;1990;
Bhutan;BTN;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1990;812.671325538642
Bhutan;BTN;Gini index;SI.POV.GINI;1990;
Bhutan;BTN;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;1990;
Bhutan;BTN;Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita);EN.GHG.CO2.PC.CE.AR5;1990;0.307490238203117
Bhutan;BTN;Renewable energy consumption (% of total final energy consumption);EG.FEC.RNEW.ZS;1990;95.9
Bhutan;BTN;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;1990;
Bhutan;BTN;Current health expenditure per capita (current US$);SH.XPD.CHEX.PC.CD;1990;
Bhutan;BTN;Individuals using the Internet (% of population);IT.NET.USER.ZS;1990;0
Bhutan;BTN;GNI, PPP (constant 2021 international $);NY.GNP.MKTP.PP.KD;1990;1891869877.27836
Bolivia;BOL;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1990;1679.40847737071
Bolivia;BOL;Gini index;SI.POV.GINI;1990;42
Bolivia;BOL;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;1990;
Bolivia;BOL;Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita);EN.GHG.CO2.PC.CE.AR5;1990;0.92306717033125
Bolivia;BOL;Renewable energy consumption (% of total final energy consumption);EG.FEC.RNEW.ZS;1990;37
Bolivia;BOL;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;1990;
Bolivia;BOL;Current health expenditure per capita (current US$);SH.XPD.CHEX.PC.CD;1990;
Bolivia;BOL;Individuals using the Internet (% of population);IT.NET.USER.ZS;1990;0
Bolivia;BOL;GNI, PPP (constant 2021 international $);NY.GNP.MKTP.PP.KD;1990;34673364858.8734
Bosnia and Herzegovina;BIH;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1990;791.211670918053
Bosnia and Herzegovina;BIH;Gini index;SI.POV.GINI;1990;
Bosnia and Herzegovina;BIH;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;1990;
Bosnia and Herzegovina;BIH;Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita);EN.GHG.CO2.PC.CE.AR5;1990;5.52371819598386
Bosnia and Herzegovina;BIH;Renewable energy consumption (% of total final energy consumption);EG.FEC.RNEW.ZS;1990;7.3
Bosnia and Herzegovina;BIH;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;1990;
Bosnia and Herzegovina;BIH;Current health expenditure per capita (current US$);SH.XPD.CHEX.PC.CD;1990;
Bosnia and Herzegovina;BIH;Individuals using the Internet (% of population);IT.NET.USER.ZS;1990;0
Bosnia and Herzegovina;BIH;GNI, PPP (constant 2021 international $);NY.GNP.MKTP.PP.KD;1990;
Botswana;BWA;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1990;4039.46544455099
Botswana;BWA;Gini index;SI.POV.GINI;1990;
Botswana;BWA;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;1990;
Botswana;BWA;Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita);EN.GHG.CO2.PC.CE.AR5;1990;2.16175893929368
Botswana;BWA;Renewable energy consumption (% of total final energy consumption);EG.FEC.RNEW.ZS;1990;49
Botswana;BWA;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;1990;5.73963022232056
